NODE 1 1, DISTANCE: -1
NODE 2 2, DISTANCE: -1
NODE 3 3, DISTANCE: -1
NODE 4 4, DISTANCE: -1
NODE 5 5, DISTANCE: -1
NODE 6 6, DISTANCE: -1
NODE 7 7, DISTANCE: -1
NODE 8 8, DISTANCE: -1
NODE 9 9, DISTANCE: -1
NODE 10 10, DISTANCE: -1
NODE 11 11, DISTANCE: -1
NODE 12 12, DISTANCE: -1
NODE 13 13, DISTANCE: -1
NODE 14 14, DISTANCE: -1
NODE 15 15, DISTANCE: -1
NODE 16 16, DISTANCE: -1
NODE 17 17, DISTANCE: -1
NODE 18 18, DISTANCE: -1
NODE 19 19, DISTANCE: -1
NODE 20 20, DISTANCE: -1
NODE 21 21, DISTANCE: -1
NODE 22 22, DISTANCE: -1
NODE 23 23, DISTANCE: -1
NODE 24 24, DISTANCE: -1
NODE 25 25, DISTANCE: -1
NODE 26 26, DISTANCE: -1
NODE 27 27, DISTANCE: -1
NODE 28 28, DISTANCE: -1
NODE 29 29, DISTANCE: -1
NODE 30 30, DISTANCE: -1
NODE 31 31, DISTANCE: -1
NODE 32 32, DISTANCE: -1
NODE 33 33, DISTANCE: -1
NODE 34 34, DISTANCE: -1
NODE 35 35, DISTANCE: -1
NODE 36 36, DISTANCE: -1
NODE 37 37, DISTANCE: -1
NODE 38 38, DISTANCE: -1
NODE 39 39, DISTANCE: -1
NODE 40 40, DISTANCE: -1
NODE 41 41, DISTANCE: -1
NODE 42 42, DISTANCE: -1
NODE 43 43, DISTANCE: -1
NODE 44 44, DISTANCE: -1
NODE 45 45, DISTANCE: -1
NODE 46 46, DISTANCE: -1
NODE 47 47, DISTANCE: -1
NODE 48 48, DISTANCE: -1
NODE 49 49, DISTANCE: -1
NODE 50 50, DISTANCE: -1
NODE 51 51, DISTANCE: -1
NODE 52 52, DISTANCE: -1
NODE 53 53, DISTANCE: -1
NODE 54 54, DISTANCE: -1
NODE 55 55, DISTANCE: -1
NODE 56 56, DISTANCE: -1
NODE 57 57, DISTANCE: -1
NODE 58 58, DISTANCE: -1
NODE 59 59, DISTANCE: -1
NODE 60 60, DISTANCE: -1
NODE 61 61, DISTANCE: -1
NODE 62 62, DISTANCE: -1
NODE 63 63, DISTANCE: -1
NODE 64 64, DISTANCE: -1
NODE 65 65, DISTANCE: -1
NODE 66 66, DISTANCE: -1
NODE 67 67, DISTANCE: -1
NODE 68 68, DISTANCE: -1
NODE 69 69, DISTANCE: -1
NODE 70 70, DISTANCE: -1
NODE 71 71, DISTANCE: -1
NODE 72 72, DISTANCE: -1
NODE 73 73, DISTANCE: -1
NODE 74 74, DISTANCE: -1
NODE 75 75, DISTANCE: -1
NODE 76 76, DISTANCE: -1
NODE 77 77, DISTANCE: -1
NODE 78 78, DISTANCE: -1
NODE 79 79, DISTANCE: -1
NODE 80 80, DISTANCE: -1
NODE 81 81, DISTANCE: -1
NODE 82 82, DISTANCE: -1
NODE 83 83, DISTANCE: -1
NODE 84 84, DISTANCE: -1
NODE 85 85, DISTANCE: -1
NODE 86 86, DISTANCE: -1
NODE 87 87, DISTANCE: -1
NODE 88 88, DISTANCE: -1
NODE 89 89, DISTANCE: -1
NODE 90 90, DISTANCE: -1
NODE 91 91, DISTANCE: -1
NODE 92 92, DISTANCE: -1
NODE 93 93, DISTANCE: -1
NODE 94 94, DISTANCE: -1
NODE 95 95, DISTANCE: -1
NODE 96 96, DISTANCE: -1
NODE 97 97, DISTANCE: -1
NODE 98 98, DISTANCE: -1
NODE 99 99, DISTANCE: -1
NODE 100 100, DISTANCE: -1
NODE 101 101, DISTANCE: -1
NODE 102 102, DISTANCE: -1
NODE 103 103, DISTANCE: -1
NODE 104 104, DISTANCE: -1
NODE 105 105, DISTANCE: -1
NODE 106 106, DISTANCE: -1
NODE 107 107, DISTANCE: -1
NODE 108 108, DISTANCE: -1
NODE 109 109, DISTANCE: -1
NODE 110 110, DISTANCE: -1
NODE 111 111, DISTANCE: -1
NODE 112 112, DISTANCE: -1
NODE 113 113, DISTANCE: -1
NODE 114 114, DISTANCE: -1
NODE 115 115, DISTANCE: -1
NODE 116 116, DISTANCE: -1
NODE 117 117, DISTANCE: -1
NODE 118 118, DISTANCE: -1
NODE 119 119, DISTANCE: -1
NODE 120 120, DISTANCE: -1
NODE 121 121, DISTANCE: -1
NODE 122 122, DISTANCE: -1
NODE 123 123, DISTANCE: -1
NODE 124 124, DISTANCE: -1
NODE 125 125, DISTANCE: -1
NODE 126 126, DISTANCE: -1
NODE 127 127, DISTANCE: -1
NODE 128 128, DISTANCE: -1
NODE 129 129, DISTANCE: -1
NODE 130 130, DISTANCE: -1
NODE 131 131, DISTANCE: 0
NODE 132 132, DISTANCE: -1
NODE 133 133, DISTANCE: -1
NODE 134 134, DISTANCE: -1
NODE 135 135, DISTANCE: -1
NODE 136 136, DISTANCE: -1
NODE 137 137, DISTANCE: -1
NODE 138 138, DISTANCE: -1
NODE 139 139, DISTANCE: -1
NODE 140 140, DISTANCE: -1
NODE 141 141, DISTANCE: -1
NODE 142 142, DISTANCE: -1
NODE 143 143, DISTANCE: -1
NODE 144 144, DISTANCE: -1
NODE 145 145, DISTANCE: -1
NODE 146 146, DISTANCE: -1
NODE 147 147, DISTANCE: -1
NODE 148 148, DISTANCE: -1
NODE 149 149, DISTANCE: -1
NODE 150 150, DISTANCE: -1
NODE 151 151, DISTANCE: -1
NODE 152 152, DISTANCE: -1
NODE 153 153, DISTANCE: -1
NODE 154 154, DISTANCE: -1
NODE 155 155, DISTANCE: -1
NODE 156 156, DISTANCE: -1
NODE 157 157, DISTANCE: -1
NODE 158 158, DISTANCE: -1
NODE 159 159, DISTANCE: -1
NODE 160 160, DISTANCE: -1
NODE 161 161, DISTANCE: -1
NODE 162 162, DISTANCE: -1
NODE 163 163, DISTANCE: 1
NODE 164 164, DISTANCE: -1
NODE 165 165, DISTANCE: -1
NODE 166 166, DISTANCE: -1
NODE 167 167, DISTANCE: -1
NODE 168 168, DISTANCE: -1
NODE 169 169, DISTANCE: -1
NODE 170 170, DISTANCE: -1
NODE 171 171, DISTANCE: -1
NODE 172 172, DISTANCE: -1
NODE 173 173, DISTANCE: -1
NODE 174 174, DISTANCE: -1
NODE 175 175, DISTANCE: -1
NODE 176 176, DISTANCE: -1
NODE 177 177, DISTANCE: -1
NODE 178 178, DISTANCE: -1
NODE 179 179, DISTANCE: -1
NODE 180 180, DISTANCE: -1
NODE 181 181, DISTANCE: -1
